,Analysis,Training Size,[Train Data] - The least error ML model,[Train Data] - RMSE (mean of cv=10),[Train Data] - STD (mean of cv=10),[Train Data] - RMSE(%) (mean of cv=10),[Test Data] - The least error ML model,[Test Data] - RMSE (cv=1),[Test Data] - RMSE(%) (cv=1)
85,7,0.3,Linear Regressor,8.287255713345589,3.88772268710474,10.359069641681987,Linear Regressor,9.842461468984931,12.303076836231163
86,7,0.35,Random Forest Regressor,8.944222204238224,4.81023795266013,11.18027775529778,Random Forest Regressor,9.375366659496578,11.719208324370722
87,7,0.4,Random Forest Regressor,8.533834566749304,3.5902415314323077,10.66729320843663,Random Forest Regressor,6.6041653522606465,8.255206690325808
88,7,0.45,Linear Regressor,8.84903295795745,2.389145624351653,11.061291197446813,Linear Regressor,6.622060361050889,8.277575451313611
89,7,0.5,Linear Regressor,7.686312261129226,2.391731011576466,9.607890326411532,Linear Regressor,6.82727366668165,8.534092083352062
90,7,0.55,Linear Regressor,7.000796991021896,2.4070651310727698,8.75099623877737,Linear Regressor,7.240703235905581,9.050879044881977
91,7,0.6,Random Forest Regressor,6.699480084757245,2.5806523582112066,8.374350105946556,Random Forest Regressor,6.1883459017737525,7.735432377217191
92,7,0.65,Multi-layer Regressor,6.9283727567454845,2.245191956901776,8.660465945931856,Multi-layer Regressor,4.242676436518041,5.303345545647551
93,7,0.7,Multi-layer Regressor,7.100319136108302,2.7898385077222043,8.875398920135376,Multi-layer Regressor,4.613717210717349,5.7671465133966855
94,7,0.75,Random Forest Regressor,6.676134447326208,2.4802342983189547,8.34516805915776,Random Forest Regressor,8.39064955769218,10.488311947115225
95,7,0.8,Random Forest Regressor,6.427739886393624,2.0737343703036712,8.03467485799203,Random Forest Regressor,6.0368659087311185,7.5460823859138975
96,7,0.85,Multi-layer Regressor,6.069267552368926,1.73414510122697,7.586584440461157,Multi-layer Regressor,4.927195012222345,6.158993765277931
97,7,0.9,Multi-layer Regressor,6.160705412038299,1.4839590428815381,7.700881765047873,Multi-layer Regressor,4.911627602849846,6.139534503562307
98,8,0.25,Random Forest Regressor,11.597609133973506,10.271823391283794,1.1529226259393752,Random Forest Regressor,17.15331279058592,1.7052171872347022
99,8,0.3,Random Forest Regressor,11.08095444696401,8.447455506069952,1.1015617918597056,Random Forest Regressor,14.69645205229959,1.4609797499119674
100,8,0.35,Random Forest Regressor,10.5339106718516,6.564245252931055,1.0471799672594224,Random Forest Regressor,17.08867193064646,1.6987912153707194
101,8,0.4,Random Forest Regressor,12.671443200434314,8.68638954128998,1.2596728688062842,Random Forest Regressor,15.267136052671091,1.5177116580741865
102,8,0.45,Random Forest Regressor,11.057421917761467,9.105495720688841,1.0992224144026987,Random Forest Regressor,17.615305789138624,1.7511440825890807
103,8,0.5,Random Forest Regressor,10.64912780905696,8.409143994542664,1.0586337456067971,Random Forest Regressor,15.541163613845077,1.5449528395762424
104,8,0.55,Random Forest Regressor,10.39826098797467,7.8391511337410815,1.0336949818683296,Random Forest Regressor,15.028794324704418,1.4940180184883076
105,8,0.6,Random Forest Regressor,9.273955153201374,5.982256492293234,0.9219273217918532,Random Forest Regressor,18.35364803715491,1.8245429593395743
106,8,0.65,Random Forest Regressor,15.293665706971193,11.524510393961389,1.5203489808488728,Random Forest Regressor,15.983115708792761,1.5888874612694222
107,8,0.7,Random Forest Regressor,15.124768664998687,8.905933037400896,1.5035588632569705,Random Forest Regressor,15.752852410665623,1.5659969013904442
108,8,0.75,Random Forest Regressor,13.669368767053992,9.70326173808582,1.3588770195470505,Random Forest Regressor,17.163932818528114,1.70627292815175
109,8,0.8,Random Forest Regressor,15.179092577025386,9.795455361856266,1.5089592235020535,Random Forest Regressor,15.742925267160116,1.565010040372261
110,8,0.85,Random Forest Regressor,15.64664264944515,12.103288110304671,1.5554385496308565,Random Forest Regressor,7.310996438801451,0.7267888678680179
111,8,0.9,Random Forest Regressor,14.918693779265723,10.171364321404344,1.4830728824263677,Random Forest Regressor,6.098597052125598,0.60626379512014
112,9,0.25,Multi-layer Regressor,5.375131700015637,4.984129120403601,6.718914625019547,Multi-layer Regressor,5.745464681224269,7.181830851530337
113,9,0.3,Multi-layer Regressor,6.03302138865123,4.014839990162288,7.541276735814037,Multi-layer Regressor,4.602399018673517,5.752998773341896
